"","virus","Spearman rho","Spearman p","Pearson R","Pearson p","Wilcox p","ttest p","Difference in means","cord pos","cord neg","child pos","child neg","odds ratio","fisher p"
"1","Chiba virus",0.0679688640676735,1.45633470434318,0.0699133432994807,1.52212719661811,1.10858464347444,7.08269411886311,-0.458004667420246,104,859,200,763,2.16419347717627,8.64767627587143
"2","Cosavirus A",-0.00862559717796853,0.102824797831597,-0.0347653184618653,0.551083140060974,43.4829081252381,37.2845251481018,-0.919662325709603,26,937,177,786,8.1070790082557,30.9402673128247
"3","Enterovirus A",-0.0171461840713789,0.225441609633232,-0.0253987223507012,0.365405398905647,56.7521921130248,76.0768378237857,-4.26004033240896,811,152,808,155,0.977024383924484,0.0453045541410374
"4","Enterovirus B",0.00433272568456964,0.0490700528112543,0.0156849416268238,0.202822302458772,1.62968018270044,6.14879355557651,-1.55879225222374,956,7,846,117,0.0529816613283283,27.5705838358393
"5","Enterovirus C",-0.00620044411489713,0.071816851118162,0.0268282849712912,0.391870993397541,1.24774016886785,4.43080256281632,-0.948085377824576,939,24,890,73,0.311785659891085,6.4776090349693
"6","Enterovirus D",-0.0199476004726712,0.270570528691107,-0.011730485805442,0.144975158126673,34.2343423920788,43.3065482984712,-1.85789162043194,743,220,778,185,1.24506019265555,1.24261858477376
"7","Epstein-Barr virus",0.117974573456018,3.60957116232839,0.124957720408541,3.9952364303678,190.659854367309,199.581679625454,7.46368364457495,953,10,225,738,0.00321237141521076,307.624666967814
"8","Human adenovirus 14",0.0315434367282198,0.48400155152315,0.0301094886721734,0.455147722407756,12.7305612354413,0.523864239209279,0.0850911346592198,244,719,254,709,1.05566851380037,0.194130205694433
"9","Human adenovirus 55",0.0810082927622773,1.92336707492463,0.058459958517765,1.15627116075965,48.0498675866447,18.5663362721593,1.20373048472972,663,300,366,597,0.277622736981422,41.5975347449023
"10","Human adenovirus A serotype 12",0.0433341231611678,0.7470675651164,0.0541107746183431,1.03010563148062,16.3679217716533,0.0282814226958365,0.00532852558481656,223,740,273,690,1.3127300359047,1.97360495275971
"11","Human adenovirus A serotype 18",0.0693225763028377,1.50180976273971,0.0584946136578824,1.15730439240961,28.9610664866244,6.98415881776566,0.305696196094916,238,725,237,726,0.994429234277704,0
"12","Human adenovirus A serotype 31",0.0441607012359717,0.767314783123421,0.0773978877356754,1.78803404823086,16.3139915908971,3.73583959759459,0.197676310152363,164,799,149,814,0.891848230266986,0.412036582227054
"13","Human adenovirus B serotype 16",0.034828424482126,0.552518754159438,0.0552863742910331,1.06352505138508,17.9528176298749,1.61774276976074,0.344771208817011,727,236,447,516,0.281410945085222,38.7756017623171
"14","Human adenovirus B serotype 3",-0.00271567479850723,0.0301585968947967,0.0176783196946509,0.233779639596217,12.4243456651812,1.3059983382943,0.143640291435186,200,763,210,753,1.06387994630896,0.210128740334762
"15","Human adenovirus B serotype 7",0.0450785569643909,0.790079836615704,0.0770628172214158,1.7756700558132,30.8965950361893,10.5404285792814,0.320127791669107,118,845,84,879,0.68446902412153,1.8550622226471
"16","Human adenovirus C serotype 1",0.0195502141443895,0.264020177448116,0.0392130765960185,0.649601586274894,0.194000661471042,9.0758472564219,-0.433461376084316,96,867,200,763,2.36626730976572,10.2832099460047
"17","Human adenovirus C serotype 2",0.0515403779257659,0.958826030316844,0.0443383441477745,0.771622223033338,17.4954747273699,4.58977378688752,1.01583151132031,938,25,467,496,0.0251388610717715,148.913210007189
"18","Human adenovirus C serotype 5",0.056908640729946,1.11045951793612,0.0805396145053259,1.90607471916095,22.9654085055466,4.0488128965634,0.440130355422599,607,356,400,563,0.416885257067657,20.4042843063631
"19","Human adenovirus D serotype 15",0.0291427524723371,0.436213021878961,0.0138148555630141,0.174880608071128,9.83217348666124,4.81257186580514,0.173724022919878,89,874,57,906,0.617987185684734,2.12886382822236
"20","Human adenovirus D serotype 17",0.067071244486221,1.42656192845919,0.0461455286522348,0.816848572680483,11.3508102642755,7.68675219105031,0.205498545707477,82,881,50,913,0.588549816357172,2.30011294241583
